overtime,stress_score,left_company
0,-1.487861703490623,0
1,-1.1251861017311617,0
1,0.3888189102637133,0
0,-1.173873326306029,0
0,1.1126343052033019,1
0,-0.071120290830336,0
0,0.08559470394452533,0
1,-0.2783729676078937,0
0,0.7728478385437232,1
1,0.7831598877770107,1
0,0.33505435191217137,0
1,0.564789105907648,0
1,-0.21208966992042563,0
0,0.5422030069090485,0
0,-0.33787777547380676,0
0,0.0022316221624020006,0
0,-0.27464374936629743,1
0,-0.4572185393191959,0
0,-0.6891117977217902,0
0,0.4676901038588855,1
0,1.3106059128134633,0
0,1.1711019716695594,0
0,-1.2565653359454354,0
0,1.2892030514068733,0
0,-0.31815850161792886,0
1,0.6007330151455916,0
0,-0.906215332047211,0
0,0.14197991387400533,0
0,0.3137231828969071,1
0,-1.4846047919196528,0
0,0.6082671663441893,0
0,1.3459350078383152,0
0,-0.1746479456816279,0
1,1.3601681308280127,1
1,-0.18969349345240752,0
1,0.8495845310466172,0
0,-2.2185699659510996,0
0,2.4187777793134635,1
0,1.495458245242957,1
0,-0.2846255042536789,0
0,-1.972089026643818,0
0,0.28802836830548917,0
0,-1.4439255470737569,0
1,0.444853537557488,1
0,0.4115657191642819,1
0,-0.9414031690020248,0
0,1.1209670236143776,0
0,0.8055747028061735,0
0,0.9758233372885634,0
0,0.008857703668895378,0
1,-1.4155240669137066,0
1,0.9778722722111376,1
1,-0.27037139913579117,0
1,-1.389780143192669,0
0,1.352039365974326,0
1,2.0994075205025093,1
0,-0.041248128979203026,1
0,2.159121154603292,0
0,0.09131472861134962,0
0,-0.38045590416635117,0
0,-0.6304584541854775,0
0,1.6370824079927424,0
1,-0.7801438813877718,0
0,0.7352693099749874,1
0,-0.5591638350592083,0
0,-0.4603067625743631,0
0,1.030249693969567,0
1,-0.38003684628935364,0
0,-0.4047953794202932,0
1,1.1328046971748071,0
1,1.5973972932216232,1
0,0.6446898032842333,0
0,-0.6547697756239492,0
1,-0.5106084992975795,1
1,0.07991526374003749,0
1,0.32093006192565754,0
1,-0.9878659101397719,1
0,0.7230379395798638,0
0,0.08551332963959904,1
0,-1.7157083186381297,0
1,-0.9289264824607304,0
0,-0.5041286736516637,0
0,-0.07285768884105508,0
0,1.889278795503996,0
0,0.23817130613962828,1
0,-0.8407718898986251,0
1,0.22063080430716323,1
0,-0.35208774745388094,0
1,0.3247582395335419,0
0,0.5805676870356151,0
0,1.209230647223938,1
1,-0.024286495670025846,1
1,1.6389605275998334,0
0,0.9080226625361915,0
1,-0.7074395448121878,0
0,2.209855665748464,1
0,0.3269945132700978,0
0,-0.8351245039722355,0
0,1.6529130512304218,0
0,2.0777775851984446,1
0,-0.03302526371956056,0
0,-0.5036502603755963,0
0,-0.17237495745366196,0
0,0.7147317275176998,0
1,1.277856655030514,1
0,0.5704873308635735,0
0,0.10172320847176979,0
1,1.4980117703044276,0
0,-0.3128364730515222,0
0,1.030919338366907,1
0,-0.2880627983512786,0
0,0.43102295801089313,1
1,-0.11356256479045149,1
1,-0.05585218265281086,0
0,-0.3773865174622099,0
1,1.3448540311806945,0
1,-0.7329260381085351,0
0,-0.7402322525487084,0
1,2.1209935658451093,1
0,0.9778475646543314,0
1,-2.3851136986930364,0
1,-0.5652587392104036,1
0,-1.8119893375620542,0
0,-0.9506906934152551,0
0,-3.1385146662340397,0
0,-0.13698957769394238,0
1,-1.1419418191613115,0
1,0.059905256796438384,0
0,-1.6251212588825248,0
0,0.08291185317203993,0
0,-0.41491627812032733,0
0,1.501952965188596,0
0,1.411356861745625,1
0,0.785345603010283,0
1,-0.3266137806612126,1
0,1.9853803952602933,0
0,-1.5530352778398206,0
1,-1.4035586295636626,0
0,-0.08378309988906465,0
1,2.254038108921119,1
1,-0.20233890687008754,0
0,-0.18324524320928193,0
0,-1.4419103561118092,0
0,0.9459295852703784,1
0,0.9531762543293538,0
0,0.7890752013999099,0
0,-0.6292206728473624,0
0,-0.7067067683730057,0
0,-1.2931222504049704,0
0,0.08387250176093364,0
1,-1.0804073292785017,0
0,-1.1774165052492886,0
0,-0.42369071691067595,1
0,-0.48915617518421617,0
1,-0.5379785288219551,0
0,0.4664445968402613,1
0,0.07904780215027922,0
1,-0.28815603051111766,0
0,0.18301292831148205,1
1,-0.9915270411046322,0
0,0.10527862390967795,0
0,0.15060249284463378,0
0,-1.5030468593574806,0
